name,address,city,state,zipCode,phoneNumber,email,totalBeds,availableBeds,description
Hope Center - Seattle Services North,6742 Main St,Seattle,WA,15227,842-904-5357,contact1@shelter.org,22,2,Scraped-style dataset with room availability restored.
Safe Haven - Indianapolis Services North,2923 Maple St,Indianapolis,IN,31083,341-778-1362,contact2@shelter.org,45,19,Scraped-style dataset with room availability restored.
Safe Haven - San Jose Shelter East,2852 3rd St,San Jose,CA,60474,905-983-9813,contact3@shelter.org,87,32,Scraped-style dataset with room availability restored.
Open Door Mission - Washington Shelter South,6095 Broad St,Washington,DC,34328,386-641-4401,contact4@shelter.org,60,18,Scraped-style dataset with room availability restored.
Salvation Army - Dallas Program North,3884 Broad St,Dallas,TX,57627,554-929-9155,contact5@shelter.org,89,33,Scraped-style dataset with room availability restored.
Neighborhood Shelter - Charlotte Center North,2335 Cedar St,Charlotte,NC,81650,629-492-1236,contact6@shelter.org,55,7,Scraped-style dataset with room availability restored.
Salvation Army - San Francisco Program North,1116 Main St,San Francisco,CA,31074,487-535-2744,contact7@shelter.org,60,23,Scraped-style dataset with room availability restored.
Hope Center - Austin Center North,9189 Maple St,Austin,TX,86095,313-269-7628,contact8@shelter.org,118,51,Scraped-style dataset with room availability restored.
Open Door Mission - San Diego Mission West,7014 Main St,San Diego,CA,90024,570-703-7287,contact9@shelter.org,43,11,Scraped-style dataset with room availability restored.
Community Shelter - Austin Program North,1877 3rd St,Austin,TX,12821,300-293-9418,contact10@shelter.org,23,8,Scraped-style dataset with room availability restored.
Transitional Housing Program - Los Angeles Center South,1659 Walnut St,Los Angeles,CA,54690,929-378-8345,contact11@shelter.org,22,0,Scraped-style dataset with room availability restored.
Faith Shelter - Los Angeles Center North,4591 Pine St,Los Angeles,CA,97725,551-858-8435,contact12@shelter.org,50,2,Scraped-style dataset with room availability restored.
City Shelter - Austin Services East,9908 3rd St,Austin,TX,99139,558-833-9428,contact13@shelter.org,32,14,Scraped-style dataset with room availability restored.
Transitional Housing Program - Austin Shelter South,1527 Cedar St,Austin,TX,20988,491-560-5106,contact14@shelter.org,95,17,Scraped-style dataset with room availability restored.
Hope Center - Boston Center East,6544 Main St,Boston,MA,52928,203-586-9183,contact15@shelter.org,88,20,Scraped-style dataset with room availability restored.
Family Shelter Network - Chicago Program East,7833 Elm St,Chicago,IL,89874,447-811-9453,contact16@shelter.org,42,0,Scraped-style dataset with room availability restored.
Open Door Mission - Jacksonville Services East,6593 Pine St,Jacksonville,FL,21201,835-882-5335,contact17@shelter.org,21,1,Scraped-style dataset with room availability restored.
Rescue Mission - Columbus Services East,4493 Elm St,Columbus,OH,70397,439-540-3926,contact18@shelter.org,36,1,Scraped-style dataset with room availability restored.
Hope Center - Detroit Program East,4873 Market St,Detroit,MI,61249,753-788-1947,contact19@shelter.org,99,24,Scraped-style dataset with room availability restored.
Safe Haven - Houston Program North,511 3rd St,Houston,TX,23947,389-785-3113,contact20@shelter.org,36,9,Scraped-style dataset with room availability restored.
City Shelter - Chicago Services East,7712 Walnut St,Chicago,IL,72955,966-834-5315,contact21@shelter.org,80,12,Scraped-style dataset with room availability restored.
City Shelter - Baltimore Mission North,2950 Market St,Baltimore,MD,54038,239-234-7254,contact22@shelter.org,83,23,Scraped-style dataset with room availability restored.
Rescue Mission - Detroit Shelter East,6577 Market St,Detroit,MI,14292,560-551-3852,contact23@shelter.org,40,0,Scraped-style dataset with room availability restored.
Community Shelter - San Jose Mission,7616 Elm St,San Jose,CA,45647,788-761-8999,contact24@shelter.org,45,5,Scraped-style dataset with room availability restored.
Faith Shelter - Dallas Services West,3065 2nd St,Dallas,TX,60385,649-512-5788,contact25@shelter.org,98,34,Scraped-style dataset with room availability restored.
Emergency Housing Center - San Jose Mission North,784 Maple St,San Jose,CA,42133,465-347-1826,contact26@shelter.org,37,15,Scraped-style dataset with room availability restored.
Salvation Army - Columbus Services West,5016 Market St,Columbus,OH,52547,550-455-8024,contact27@shelter.org,85,36,Scraped-style dataset with room availability restored.
Salvation Army - San Diego Program West,9586 Elm St,San Diego,CA,53025,664-504-3416,contact28@shelter.org,110,0,Scraped-style dataset with room availability restored.
Faith Shelter - Indianapolis Services East,9060 Oak St,Indianapolis,IN,89163,294-297-8181,contact29@shelter.org,104,36,Scraped-style dataset with room availability restored.
City Shelter - Columbus Program,6140 Pine St,Columbus,OH,99130,352-260-9178,contact30@shelter.org,33,5,Scraped-style dataset with room availability restored.
Veterans Outreach - Austin Shelter,5682 Market St,Austin,TX,60457,453-388-2202,contact31@shelter.org,103,19,Scraped-style dataset with room availability restored.
City Shelter - Philadelphia Mission East,1507 Broad St,Philadelphia,PA,50627,487-609-2047,contact32@shelter.org,110,31,Scraped-style dataset with room availability restored.
Hope Center - Charlotte Services East,2640 3rd St,Charlotte,NC,57386,840-776-9922,contact33@shelter.org,113,44,Scraped-style dataset with room availability restored.
Transitional Housing Program - Portland Shelter West,8483 Broad St,Portland,OR,33644,918-288-3250,contact34@shelter.org,113,8,Scraped-style dataset with room availability restored.
Rescue Mission - New York Mission West,9982 2nd St,New York,NY,90715,350-288-6128,contact35@shelter.org,40,13,Scraped-style dataset with room availability restored.
Open Door Mission - Jacksonville Mission,1610 Oak St,Jacksonville,FL,19917,896-464-9731,contact36@shelter.org,55,9,Scraped-style dataset with room availability restored.
