record_id,name,address,city,state,zipCode,phoneNumber,phoneNumber2,email,email2,totalBeds,availableBeds,serviceCountyOrArea,grantFiscalYear,visn,fain,addressVerified,description,notes,source_url,sourceDataset
SSVF26-SA-00001,Catholic Social Services,,,AK,,(907) 222-7300,(907) 222-7383,ssvf@cssalaska.org,rdaniels@cssalaska.org,,,Anchorage Municipality (AK),2026,VISN 20: Northwest Network,12-AK-001,False,"Real provider service-area row from VA FY26 SSVF intake list. Service area is county/coverage, not bed inventory.","Veterans seeking services can also utilize our web referral form linked below:
https://www.cssalaska.org/our-programs/veteran-services/ ",https://www.va.gov/HOMELESS/ssvf/docs/SSVF_Provider_Intake_List_FY26.xlsx,U.S. Department of Veterans Affairs FY26 SSVF Provider Intake List
SSVF26-SA-00002,Catholic Social Services,,,AK,,(907) 222-7300,(907) 222-7383,ssvf@cssalaska.org,rdaniels@cssalaska.org,,,Matanuska-Susitna Borough (AK),2026,VISN 20: Northwest Network,12-AK-001,False,"Real provider service-area row from VA FY26 SSVF intake list. Service area is county/coverage, not bed inventory.","Veterans seeking services can also utilize our web referral form linked below:
https://www.cssalaska.org/our-programs/veteran-services/ ",https://www.va.gov/HOMELESS/ssvf/docs/SSVF_Provider_Intake_List_FY26.xlsx,U.S. Department of Veterans Affairs FY26 SSVF Provider Intake List
SSVF26-SA-00003,"Housing First, Inc.",,,AL,,(251) 450-3345,(251) 303-8058,communityoutreach@hfal.org,outreach@hfal.org,,,Baldwin County (AL),2026,VISN 16: South Central VA Health Care Network,12-AL-002,False,"Real provider service-area row from VA FY26 SSVF intake list. Service area is county/coverage, not bed inventory.",Not applicable,https://www.va.gov/HOMELESS/ssvf/docs/SSVF_Provider_Intake_List_FY26.xlsx,U.S. Department of Veterans Affairs FY26 SSVF Provider Intake List
SSVF26-SA-00004,"Housing First, Inc.",,,AL,,(251) 450-3345,(251) 303-8058,communityoutreach@hfal.org,outreach@hfal.org,,,Mobile County (AL),2026,VISN 16: South Central VA Health Care Network,12-AL-002,False,"Real provider service-area row from VA FY26 SSVF intake list. Service area is county/coverage, not bed inventory.",Not applicable,https://www.va.gov/HOMELESS/ssvf/docs/SSVF_Provider_Intake_List_FY26.xlsx,U.S. Department of Veterans Affairs FY26 SSVF Provider Intake List
SSVF26-SA-00005,Goodwill of Silicon Valley (dba Goodwill Industries of Santa Clara County),,,CA,,(408) 998-5727,(408) 869-9156,vfsprogram@goodwillsv.org,cborges@goodwillsv.org,,,Santa Clara County (CA),2026,VISN 21: Sierra Pacific Network,12-CA-013,False,"Real provider service-area row from VA FY26 SSVF intake list. Service area is county/coverage, not bed inventory.",VFSprogram@goodwillsv.org will alert all SSVF staff to increase timely responses.,https://www.va.gov/HOMELESS/ssvf/docs/SSVF_Provider_Intake_List_FY26.xlsx,U.S. Department of Veterans Affairs FY26 SSVF Provider Intake List
SSVF26-SA-00006,"Shelter, Inc.",,,CA,,(925) 957-7592,(925) 957-7592,SSVF@shelterinc.org,SSVF@shelterinc.org,,,Contra Costa County (CA),2026,VISN 21: Sierra Pacific Network,12-CA-016,False,"Real provider service-area row from VA FY26 SSVF intake list. Service area is county/coverage, not bed inventory.",,https://www.va.gov/HOMELESS/ssvf/docs/SSVF_Provider_Intake_List_FY26.xlsx,U.S. Department of Veterans Affairs FY26 SSVF Provider Intake List
SSVF26-SA-00007,"Volunteers of America of Greater Sacramento and Northern Nevada, Inc.",,,CA,,(916) 228-3153,(916) 228-3153,ssvf@voa-ncnn.org,ssvf@voa-ncnn.org,,,El Dorado County (CA),2026,VISN 21: Sierra Pacific Network,12-CA-018,False,"Real provider service-area row from VA FY26 SSVF intake list. Service area is county/coverage, not bed inventory.",,https://www.va.gov/HOMELESS/ssvf/docs/SSVF_Provider_Intake_List_FY26.xlsx,U.S. Department of Veterans Affairs FY26 SSVF Provider Intake List
SSVF26-SA-00008,"Volunteers of America of Greater Sacramento and Northern Nevada, Inc.",,,CA,,(916) 228-3153,(916) 228-3153,ssvf@voa-ncnn.org,ssvf@voa-ncnn.org,,,Nevada County (CA),2026,VISN 21: Sierra Pacific Network,12-CA-018,False,"Real provider service-area row from VA FY26 SSVF intake list. Service area is county/coverage, not bed inventory.",,https://www.va.gov/HOMELESS/ssvf/docs/SSVF_Provider_Intake_List_FY26.xlsx,U.S. Department of Veterans Affairs FY26 SSVF Provider Intake List
SSVF26-SA-00009,"Volunteers of America of Greater Sacramento and Northern Nevada, Inc.",,,CA,,(916) 228-3153,(916) 228-3153,ssvf@voa-ncnn.org,ssvf@voa-ncnn.org,,,Placer County (CA),2026,VISN 21: Sierra Pacific Network,12-CA-018,False,"Real provider service-area row from VA FY26 SSVF intake list. Service area is county/coverage, not bed inventory.",,https://www.va.gov/HOMELESS/ssvf/docs/SSVF_Provider_Intake_List_FY26.xlsx,U.S. Department of Veterans Affairs FY26 SSVF Provider Intake List
SSVF26-SA-00010,"Volunteers of America of Greater Sacramento and Northern Nevada, Inc.",,,CA,,(916) 228-3153,(916) 228-3153,ssvf@voa-ncnn.org,ssvf@voa-ncnn.org,,,Sacramento County (CA),2026,VISN 21: Sierra Pacific Network,12-CA-018,False,"Real provider service-area row from VA FY26 SSVF intake list. Service area is county/coverage, not bed inventory.",,https://www.va.gov/HOMELESS/ssvf/docs/SSVF_Provider_Intake_List_FY26.xlsx,U.S. Department of Veterans Affairs FY26 SSVF Provider Intake List
SSVF26-SA-00011,"Volunteers of America of Greater Sacramento and Northern Nevada, Inc.",,,CA,,(916) 228-3153,(916) 228-3153,ssvf@voa-ncnn.org,ssvf@voa-ncnn.org,,,Sutter County (CA),2026,VISN 21: Sierra Pacific Network,12-CA-018,False,"Real provider service-area row from VA FY26 SSVF intake list. Service area is county/coverage, not bed inventory.",,https://www.va.gov/HOMELESS/ssvf/docs/SSVF_Provider_Intake_List_FY26.xlsx,U.S. Department of Veterans Affairs FY26 SSVF Provider Intake List
SSVF26-SA-00012,"Volunteers of America of Greater Sacramento and Northern Nevada, Inc.",,,CA,,(916) 228-3153,(916) 228-3153,ssvf@voa-ncnn.org,ssvf@voa-ncnn.org,,,Yolo County (CA),2026,VISN 21: Sierra Pacific Network,12-CA-018,False,"Real provider service-area row from VA FY26 SSVF intake list. Service area is county/coverage, not bed inventory.",,https://www.va.gov/HOMELESS/ssvf/docs/SSVF_Provider_Intake_List_FY26.xlsx,U.S. Department of Veterans Affairs FY26 SSVF Provider Intake List
SSVF26-SA-00013,"Volunteers of America of Greater Sacramento and Northern Nevada, Inc.",,,CA,,(916) 228-3153,(916) 228-3153,ssvf@voa-ncnn.org,ssvf@voa-ncnn.org,,,Yuba County (CA),2026,VISN 21: Sierra Pacific Network,12-CA-018,False,"Real provider service-area row from VA FY26 SSVF intake list. Service area is county/coverage, not bed inventory.",,https://www.va.gov/HOMELESS/ssvf/docs/SSVF_Provider_Intake_List_FY26.xlsx,U.S. Department of Veterans Affairs FY26 SSVF Provider Intake List
SSVF26-SA-00014,"Community Renewal Team, Inc.",,,CT,,(860) 778-4775,(860) 778-2423,crumpt@crtct.org,lamberts@crtct.org,,,Hartford County (CT),2026,VISN 1: VA New England Healthcare System,12-CT-021,False,"Real provider service-area row from VA FY26 SSVF intake list. Service area is county/coverage, not bed inventory.",The 1st email and 1st phone number are for the Program Manager (Primary).  The other email and phone number are for the Program's Outreach Coordinator (Secondary),https://www.va.gov/HOMELESS/ssvf/docs/SSVF_Provider_Intake_List_FY26.xlsx,U.S. Department of Veterans Affairs FY26 SSVF Provider Intake List
SSVF26-SA-00015,"Community Renewal Team, Inc.",,,CT,,(860) 778-4775,(860) 778-2423,crumpt@crtct.org,lamberts@crtct.org,,,Middlesex County (CT),2026,VISN 1: VA New England Healthcare System,12-CT-021,False,"Real provider service-area row from VA FY26 SSVF intake list. Service area is county/coverage, not bed inventory.",The 1st email and 1st phone number are for the Program Manager (Primary).  The other email and phone number are for the Program's Outreach Coordinator (Secondary),https://www.va.gov/HOMELESS/ssvf/docs/SSVF_Provider_Intake_List_FY26.xlsx,U.S. Department of Veterans Affairs FY26 SSVF Provider Intake List
SSVF26-SA-00016,"Community Renewal Team, Inc.",,,CT,,(860) 778-4775,(860) 778-2423,crumpt@crtct.org,lamberts@crtct.org,,,New Haven County (CT),2026,VISN 1: VA New England Healthcare System,12-CT-021,False,"Real provider service-area row from VA FY26 SSVF intake list. Service area is county/coverage, not bed inventory.",The 1st email and 1st phone number are for the Program Manager (Primary).  The other email and phone number are for the Program's Outreach Coordinator (Secondary),https://www.va.gov/HOMELESS/ssvf/docs/SSVF_Provider_Intake_List_FY26.xlsx,U.S. Department of Veterans Affairs FY26 SSVF Provider Intake List
SSVF26-SA-00017,"Community Renewal Team, Inc.",,,CT,,(860) 778-4775,(860) 778-2423,crumpt@crtct.org,lamberts@crtct.org,,,New London County (CT),2026,VISN 1: VA New England Healthcare System,12-CT-021,False,"Real provider service-area row from VA FY26 SSVF intake list. Service area is county/coverage, not bed inventory.",The 1st email and 1st phone number are for the Program Manager (Primary).  The other email and phone number are for the Program's Outreach Coordinator (Secondary),https://www.va.gov/HOMELESS/ssvf/docs/SSVF_Provider_Intake_List_FY26.xlsx,U.S. Department of Veterans Affairs FY26 SSVF Provider Intake List
SSVF26-SA-00018,"Advocate Program, Inc.",,,FL,,(786) 227-5842,,vssu@advocateprogram.org,,,,Broward County (FL),2026,VISN 8: VA Sunshine Healthcare Network,12-FL-024,False,"Real provider service-area row from VA FY26 SSVF intake list. Service area is county/coverage, not bed inventory.",,https://www.va.gov/HOMELESS/ssvf/docs/SSVF_Provider_Intake_List_FY26.xlsx,U.S. Department of Veterans Affairs FY26 SSVF Provider Intake List
SSVF26-SA-00019,"Advocate Program, Inc.",,,FL,,(786) 227-5842,,vssu@advocateprogram.org,,,,Miami-Dade County (FL),2026,VISN 8: VA Sunshine Healthcare Network,12-FL-024,False,"Real provider service-area row from VA FY26 SSVF intake list. Service area is county/coverage, not bed inventory.",,https://www.va.gov/HOMELESS/ssvf/docs/SSVF_Provider_Intake_List_FY26.xlsx,U.S. Department of Veterans Affairs FY26 SSVF Provider Intake List
SSVF26-SA-00020,"Advocate Program, Inc.",,,FL,,(786) 227-5842,,vssu@advocateprogram.org,,,,Monroe County (FL),2026,VISN 8: VA Sunshine Healthcare Network,12-FL-024,False,"Real provider service-area row from VA FY26 SSVF intake list. Service area is county/coverage, not bed inventory.",,https://www.va.gov/HOMELESS/ssvf/docs/SSVF_Provider_Intake_List_FY26.xlsx,U.S. Department of Veterans Affairs FY26 SSVF Provider Intake List
SSVF26-SA-00021,Jewish Family & Childrens Service Of The Suncoast Inc,,,FL,,9413662224  130,9413662224  630,bmathews@jfcs-cares.org,vpittman@jfcs-cares.org,,,Charlotte County (FL),2026,VISN 8: VA Sunshine Healthcare Network,12-FL-028,False,"Real provider service-area row from VA FY26 SSVF intake list. Service area is county/coverage, not bed inventory.","bmathews@jfcs-cares.org//941-366-2224 ext 130: Is the Intake contact for Sarasota and Manatee counties for JFCS
vpittman@jfcs-cares.org//941-366-2224 ext 630: Is the Intake contact for Charlotte, Desoto, Lee and Collier counties for JFCS",https://www.va.gov/HOMELESS/ssvf/docs/SSVF_Provider_Intake_List_FY26.xlsx,U.S. Department of Veterans Affairs FY26 SSVF Provider Intake List
SSVF26-SA-00022,Jewish Family & Childrens Service Of The Suncoast Inc,,,FL,,9413662224  130,9413662224  630,bmathews@jfcs-cares.org,vpittman@jfcs-cares.org,,,Collier County (FL),2026,VISN 8: VA Sunshine Healthcare Network,12-FL-028,False,"Real provider service-area row from VA FY26 SSVF intake list. Service area is county/coverage, not bed inventory.","bmathews@jfcs-cares.org//941-366-2224 ext 130: Is the Intake contact for Sarasota and Manatee counties for JFCS
vpittman@jfcs-cares.org//941-366-2224 ext 630: Is the Intake contact for Charlotte, Desoto, Lee and Collier counties for JFCS",https://www.va.gov/HOMELESS/ssvf/docs/SSVF_Provider_Intake_List_FY26.xlsx,U.S. Department of Veterans Affairs FY26 SSVF Provider Intake List
SSVF26-SA-00023,Jewish Family & Childrens Service Of The Suncoast Inc,,,FL,,9413662224  130,9413662224  630,bmathews@jfcs-cares.org,vpittman@jfcs-cares.org,,,DeSoto County (FL),2026,VISN 8: VA Sunshine Healthcare Network,12-FL-028,False,"Real provider service-area row from VA FY26 SSVF intake list. Service area is county/coverage, not bed inventory.","bmathews@jfcs-cares.org//941-366-2224 ext 130: Is the Intake contact for Sarasota and Manatee counties for JFCS
vpittman@jfcs-cares.org//941-366-2224 ext 630: Is the Intake contact for Charlotte, Desoto, Lee and Collier counties for JFCS",https://www.va.gov/HOMELESS/ssvf/docs/SSVF_Provider_Intake_List_FY26.xlsx,U.S. Department of Veterans Affairs FY26 SSVF Provider Intake List
SSVF26-SA-00024,Jewish Family & Childrens Service Of The Suncoast Inc,,,FL,,9413662224  130,9413662224  630,bmathews@jfcs-cares.org,vpittman@jfcs-cares.org,,,Lee County (FL),2026,VISN 8: VA Sunshine Healthcare Network,12-FL-028,False,"Real provider service-area row from VA FY26 SSVF intake list. Service area is county/coverage, not bed inventory.","bmathews@jfcs-cares.org//941-366-2224 ext 130: Is the Intake contact for Sarasota and Manatee counties for JFCS
vpittman@jfcs-cares.org//941-366-2224 ext 630: Is the Intake contact for Charlotte, Desoto, Lee and Collier counties for JFCS",https://www.va.gov/HOMELESS/ssvf/docs/SSVF_Provider_Intake_List_FY26.xlsx,U.S. Department of Veterans Affairs FY26 SSVF Provider Intake List
SSVF26-SA-00025,Jewish Family & Childrens Service Of The Suncoast Inc,,,FL,,9413662224  130,9413662224  630,bmathews@jfcs-cares.org,vpittman@jfcs-cares.org,,,Manatee County (FL),2026,VISN 8: VA Sunshine Healthcare Network,12-FL-028,False,"Real provider service-area row from VA FY26 SSVF intake list. Service area is county/coverage, not bed inventory.","bmathews@jfcs-cares.org//941-366-2224 ext 130: Is the Intake contact for Sarasota and Manatee counties for JFCS
vpittman@jfcs-cares.org//941-366-2224 ext 630: Is the Intake contact for Charlotte, Desoto, Lee and Collier counties for JFCS",https://www.va.gov/HOMELESS/ssvf/docs/SSVF_Provider_Intake_List_FY26.xlsx,U.S. Department of Veterans Affairs FY26 SSVF Provider Intake List
SSVF26-SA-00026,Jewish Family & Childrens Service Of The Suncoast Inc,,,FL,,9413662224  130,9413662224  630,bmathews@jfcs-cares.org,vpittman@jfcs-cares.org,,,Sarasota County (FL),2026,VISN 8: VA Sunshine Healthcare Network,12-FL-028,False,"Real provider service-area row from VA FY26 SSVF intake list. Service area is county/coverage, not bed inventory.","bmathews@jfcs-cares.org//941-366-2224 ext 130: Is the Intake contact for Sarasota and Manatee counties for JFCS
vpittman@jfcs-cares.org//941-366-2224 ext 630: Is the Intake contact for Charlotte, Desoto, Lee and Collier counties for JFCS",https://www.va.gov/HOMELESS/ssvf/docs/SSVF_Provider_Intake_List_FY26.xlsx,U.S. Department of Veterans Affairs FY26 SSVF Provider Intake List
SSVF26-SA-00027,"Central Savannah River Area Economic Opportunity Authority, Inc. (CSRA EOA)",,,GA,,(706) 364-6548,,ssvf@csraeoa.org,,,,Bulloch County (GA),2026,VISN 7: VA Southeast Network,12-GA-029,False,"Real provider service-area row from VA FY26 SSVF intake list. Service area is county/coverage, not bed inventory.",,https://www.va.gov/HOMELESS/ssvf/docs/SSVF_Provider_Intake_List_FY26.xlsx,U.S. Department of Veterans Affairs FY26 SSVF Provider Intake List
SSVF26-SA-00028,"Central Savannah River Area Economic Opportunity Authority, Inc. (CSRA EOA)",,,GA,,(706) 364-6548,,ssvf@csraeoa.org,,,,Burke County (GA),2026,VISN 7: VA Southeast Network,12-GA-029,False,"Real provider service-area row from VA FY26 SSVF intake list. Service area is county/coverage, not bed inventory.",,https://www.va.gov/HOMELESS/ssvf/docs/SSVF_Provider_Intake_List_FY26.xlsx,U.S. Department of Veterans Affairs FY26 SSVF Provider Intake List
SSVF26-SA-00029,"Central Savannah River Area Economic Opportunity Authority, Inc. (CSRA EOA)",,,GA,,(706) 364-6548,,ssvf@csraeoa.org,,,,Candler County (GA),2026,VISN 7: VA Southeast Network,12-GA-029,False,"Real provider service-area row from VA FY26 SSVF intake list. Service area is county/coverage, not bed inventory.",,https://www.va.gov/HOMELESS/ssvf/docs/SSVF_Provider_Intake_List_FY26.xlsx,U.S. Department of Veterans Affairs FY26 SSVF Provider Intake List
SSVF26-SA-00030,"Central Savannah River Area Economic Opportunity Authority, Inc. (CSRA EOA)",,,GA,,(706) 364-6548,,ssvf@csraeoa.org,,,,Clarke County (GA),2026,VISN 7: VA Southeast Network,12-GA-029,False,"Real provider service-area row from VA FY26 SSVF intake list. Service area is county/coverage, not bed inventory.",,https://www.va.gov/HOMELESS/ssvf/docs/SSVF_Provider_Intake_List_FY26.xlsx,U.S. Department of Veterans Affairs FY26 SSVF Provider Intake List
SSVF26-SA-00031,"Central Savannah River Area Economic Opportunity Authority, Inc. (CSRA EOA)",,,GA,,(706) 364-6548,,ssvf@csraeoa.org,,,,Columbia County (GA),2026,VISN 7: VA Southeast Network,12-GA-029,False,"Real provider service-area row from VA FY26 SSVF intake list. Service area is county/coverage, not bed inventory.",,https://www.va.gov/HOMELESS/ssvf/docs/SSVF_Provider_Intake_List_FY26.xlsx,U.S. Department of Veterans Affairs FY26 SSVF Provider Intake List
SSVF26-SA-00032,"Central Savannah River Area Economic Opportunity Authority, Inc. (CSRA EOA)",,,GA,,(706) 364-6548,,ssvf@csraeoa.org,,,,Effingham County (GA),2026,VISN 7: VA Southeast Network,12-GA-029,False,"Real provider service-area row from VA FY26 SSVF intake list. Service area is county/coverage, not bed inventory.",,https://www.va.gov/HOMELESS/ssvf/docs/SSVF_Provider_Intake_List_FY26.xlsx,U.S. Department of Veterans Affairs FY26 SSVF Provider Intake List
SSVF26-SA-00033,"Central Savannah River Area Economic Opportunity Authority, Inc. (CSRA EOA)",,,GA,,(706) 364-6548,,ssvf@csraeoa.org,,,,Elbert County (GA),2026,VISN 7: VA Southeast Network,12-GA-029,False,"Real provider service-area row from VA FY26 SSVF intake list. Service area is county/coverage, not bed inventory.",,https://www.va.gov/HOMELESS/ssvf/docs/SSVF_Provider_Intake_List_FY26.xlsx,U.S. Department of Veterans Affairs FY26 SSVF Provider Intake List
SSVF26-SA-00034,"Central Savannah River Area Economic Opportunity Authority, Inc. (CSRA EOA)",,,GA,,(706) 364-6548,,ssvf@csraeoa.org,,,,Emanuel County (GA),2026,VISN 7: VA Southeast Network,12-GA-029,False,"Real provider service-area row from VA FY26 SSVF intake list. Service area is county/coverage, not bed inventory.",,https://www.va.gov/HOMELESS/ssvf/docs/SSVF_Provider_Intake_List_FY26.xlsx,U.S. Department of Veterans Affairs FY26 SSVF Provider Intake List
SSVF26-SA-00035,"Central Savannah River Area Economic Opportunity Authority, Inc. (CSRA EOA)",,,GA,,(706) 364-6548,,ssvf@csraeoa.org,,,,Glascock County (GA),2026,VISN 7: VA Southeast Network,12-GA-029,False,"Real provider service-area row from VA FY26 SSVF intake list. Service area is county/coverage, not bed inventory.",,https://www.va.gov/HOMELESS/ssvf/docs/SSVF_Provider_Intake_List_FY26.xlsx,U.S. Department of Veterans Affairs FY26 SSVF Provider Intake List
SSVF26-SA-00036,"Central Savannah River Area Economic Opportunity Authority, Inc. (CSRA EOA)",,,GA,,(706) 364-6548,,ssvf@csraeoa.org,,,,Greene County (GA),2026,VISN 7: VA Southeast Network,12-GA-029,False,"Real provider service-area row from VA FY26 SSVF intake list. Service area is county/coverage, not bed inventory.",,https://www.va.gov/HOMELESS/ssvf/docs/SSVF_Provider_Intake_List_FY26.xlsx,U.S. Department of Veterans Affairs FY26 SSVF Provider Intake List
SSVF26-SA-00037,"Central Savannah River Area Economic Opportunity Authority, Inc. (CSRA EOA)",,,GA,,(706) 364-6548,,ssvf@csraeoa.org,,,,Hancock County (GA),2026,VISN 7: VA Southeast Network,12-GA-029,False,"Real provider service-area row from VA FY26 SSVF intake list. Service area is county/coverage, not bed inventory.",,https://www.va.gov/HOMELESS/ssvf/docs/SSVF_Provider_Intake_List_FY26.xlsx,U.S. Department of Veterans Affairs FY26 SSVF Provider Intake List
SSVF26-SA-00038,"Central Savannah River Area Economic Opportunity Authority, Inc. (CSRA EOA)",,,GA,,(706) 364-6548,,ssvf@csraeoa.org,,,,Jefferson County (GA),2026,VISN 7: VA Southeast Network,12-GA-029,False,"Real provider service-area row from VA FY26 SSVF intake list. Service area is county/coverage, not bed inventory.",,https://www.va.gov/HOMELESS/ssvf/docs/SSVF_Provider_Intake_List_FY26.xlsx,U.S. Department of Veterans Affairs FY26 SSVF Provider Intake List
SSVF26-SA-00039,"Central Savannah River Area Economic Opportunity Authority, Inc. (CSRA EOA)",,,GA,,(706) 364-6548,,ssvf@csraeoa.org,,,,Jenkins County (GA),2026,VISN 7: VA Southeast Network,12-GA-029,False,"Real provider service-area row from VA FY26 SSVF intake list. Service area is county/coverage, not bed inventory.",,https://www.va.gov/HOMELESS/ssvf/docs/SSVF_Provider_Intake_List_FY26.xlsx,U.S. Department of Veterans Affairs FY26 SSVF Provider Intake List
